relatedItem_collection,name 1,nameType 1,nameRelator 1,name_authority 1,name_authority_identifier 1,name 2,nameType 2,nameRelator 2,name_authority 2,name_authority_identifier 2,name 3,nameType 3,nameRelator 3,name_authority 3,name_authority_identifier 3,name 4,nameType 4,nameRelator 4,name_authority 4,name_authority_identifier 4,name 5,nameType 5,nameRelator 5,name-authority 5,name_authority_identifier 5,keyDate_start,keyDate_end,dateQualifier,dateCreated,abstract,item - featured,item - public,identifier_clio,identifier_omeka,typeOfResource,language,location_url_ObjectInContext,location_url_ObjectInContext 2,physicalLocation,physicalLocation_authority,shelfLocator,sublocation,note,note 2,note_filename,digitalOrigin,extent,form,form_authority,place 1,place_authority 1,place_authority_identifier 1,place 2,place_authority 2,place_authority_identifier 2,place 3,place_authority 3,place_authority_identifier 3,place 4,place_authority 4,place_authority_identifier 4,relatedItem_Project,projectURL,note_ownership,publisher 1,publisher 2,languageOfCataloging,note_relatedItem,subject_topic,subject_topic_authority,subject_topic_authority_identifier,subject_topic 2,subject_topic_authority 2,subject_topic_authority_identifier 2,subject_topic 3,subject_topic_authority 3,subject_topic_authority_identifier 3,subject_topic 4,subject_topic_authority 4,subject_topic_authority_identifier 4,subject_name,subject_name_authority,subject_name_authority_identifier,subject_name 2,subject_name_authority 2,subject_name_authority_identifier 2,subject_geographic,subject_geographic_authority,subject_geographic_authority_identifier,subject_geographic_hierarchical_street,subject_geographic_hierarchical_borough,subject_geographic_hierarchical_city,subject_geographic_hierarchical_state,subject_geographic_hierarchical_province,subject_geographic_hierarchical_country,title_nonsort,title1,identifier_title,partName,title2,title2_type
Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,"Parker, Gilbert, 1862-1932",personal,aut,naf,http://id.loc.gov/authorities/names/n50057479,,,,,,,,,,,,,,,,,,,,,1898,,,1898,,0,1,,omeka_4971,text,eng,https://exhibitions.cul.columbia.edu/exhibits/show/bindings/plain/items_8_14,,NNC-RB,marcorg,,,Harper Library,,GBF186.600.JPG,reformatted digital,,books,aat,New York (N.Y.),naf,http://id.loc.gov/authorities/names/n79007751,London (England),naf,http://id.loc.gov/authorities/names/n79005665,,,,,,,Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,http://www.columbia.edu/cgi-bin/cul/resolve?clio8235351,,Harper & Brothers,,eng,,Publishers' bindings,fast,http://id.worldcat.org/fast/1083522,Decoration and ornament,fast,http://id.worldcat.org/fast/889145,Lettering,fast,http://id.worldcat.org/fast/996769,,,,,,,,,,,,,,,,,,,An,"Adventurer of the North: Being a Continuation of the Histories of ""Pierre and His People,"" and the Latest Existing Records of Pretty Pierre",judgingbookcover_adn_001,Cover,,
Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,"Johnston, William G. (William Graham), 1828-1913",personal,aut,,,,,,,,,,,,,,,,,,,,,,,1892,,,1892,,0,1,CLIO_6133236,omeka_4969,text,eng,https://exhibitions.cul.columbia.edu/exhibits/show/bindings/plain/items_8_14,,NNC-RB,marcorg,,,,,GBF184.600.JPG,reformatted digital,,books,aat,Pittsburgh (Pa.),naf,http://id.loc.gov/authorities/names/n79054720,,,,,,,,,,Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,http://www.columbia.edu/cgi-bin/cul/resolve?clio8235351,Bancroft Fund,s.n.,,eng,,Publishers' bindings,fast,http://id.worldcat.org/fast/1083522,Decoration and ornament,fast,http://id.worldcat.org/fast/889145,Lettering,fast,http://id.worldcat.org/fast/996769,,,,,,,,,,,,,,,,,,,,Experiences of a Forty-Niner,judgingbookcover_efn_001,Cover,,
Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,"Smith, W. E.",personal,aut,naf,http://id.loc.gov/authorities/names/nb99173351,,,,,,,,,,,,,,,,,,,,,1895,,,1895,,0,1,,omeka_4970,text,eng,https://exhibitions.cul.columbia.edu/exhibits/show/bindings/plain/items_8_14,,NNC-RB,marcorg,,,American Type Founders Company Library,,GBF185.600.JPG,reformatted digital,,books,aat,Sydney (N.S.W.),naf,http://id.loc.gov/authorities/names/n79021855,Newcastle,,,London (England),naf,http://id.loc.gov/authorities/names/n79005665,,,,Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,http://www.columbia.edu/cgi-bin/cul/resolve?clio8235351,,W. E. Smith,,eng,,Publishers' bindings,fast,http://id.worldcat.org/fast/1083522,Decoration and ornament,fast,http://id.worldcat.org/fast/889145,Lettering,fast,http://id.worldcat.org/fast/996769,,,,,,,,,,,,,,,,,,,,Specimens of Types,judgingbookcover_spt_001,Cover,,
Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,"Sproat, George G. B.",personal,aut,,,,,,,,,,,,,,,,,,,,,,,1888,,,1888,,0,1,,omeka_4968,text,eng,https://exhibitions.cul.columbia.edu/exhibits/show/bindings/plain/items_8_14,,NNC-RB,marcorg,,,,,GBF183.600.JPG,reformatted digital,,books,aat,Castle-Douglas,viaf,http://viaf.org/viaf/140830068,,,,,,,,,,Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,http://www.columbia.edu/cgi-bin/cul/resolve?clio8235351,Gift of Coleman O. Parsons,"J. H. Maxwell, ""Advertiser"" Office",,eng,,Publishers' bindings,fast,http://id.worldcat.org/fast/1083522,Decoration and ornament,fast,http://id.worldcat.org/fast/889145,Lettering,fast,http://id.worldcat.org/fast/996769,,,,,,,,,,,,,,,,,,,The ,Rose o' Dalma Linn: and Other Lays o' Gallowa',judgingbookcover_rdl_001,Cover,,
Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,"Payson, J. W. (Jesse Wentworth)",personal,aut,naf,http://id.loc.gov/authorities/names/no96054585,,,,,,,,,,,,,,,,,,,,,1873,,,1873,,0,1,CLIO_1858083,omeka_4967,text,eng,https://exhibitions.cul.columbia.edu/exhibits/show/bindings/plain/items_8_14,,NNC-RB,marcorg,,,,,GBF182.600.JPG,reformatted digital,,books,aat,New York (N.Y.),naf,http://id.loc.gov/authorities/names/n79007751,,,,,,,,,,Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,http://www.columbia.edu/cgi-bin/cul/resolve?clio8235351,Gift of George A. Plimpton,"Woolworth, Ainsworth, and Company",,eng,,Publishers' bindings,fast,http://id.worldcat.org/fast/1083522,Decoration and ornament,fast,http://id.worldcat.org/fast/889145,Lettering,fast,http://id.worldcat.org/fast/996769,,,,,,,,,,,,,,,,,,,The ,"Payson, Dunton, & Scribner Manual of Penmanship. P., D., & S. Authors: J. W. Payson, S. Dunton, W. M. Scribner, G. H. Shattuck, A. S. Manson",judgingbookcover_pds_001,Cover,,
Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,"Reade, Charles, 1814-1884",personal,aut,naf,http://id.loc.gov/authorities/names/n50043928,,,,,,,,,,,,,,,,,,,,,1870,,,1870,,0,1,,omeka_4966,text,eng,https://exhibitions.cul.columbia.edu/exhibits/show/bindings/plain/items_1_7,,NNC-RB,marcorg,,,Harper Library,,GBF180.600.JPG,reformatted digital,,books,aat,New York (N.Y.),naf,http://id.loc.gov/authorities/names/n79007751,,,,,,,,,,Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,http://www.columbia.edu/cgi-bin/cul/resolve?clio8235351,,Harper & Brothers,,eng,,Publishers' bindings,fast,http://id.worldcat.org/fast/1083522,Decoration and ornament,fast,http://id.worldcat.org/fast/889145,Lettering,fast,http://id.worldcat.org/fast/996769,,,,,,,,,,,,,,,,,,,,It Is Never Too Late to Mend: A Matter-of-Fact Romance,judgingbookcover_inl_001,Cover,,
Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,"Beecher, Catharine Esther, 1800-1878",personal,aut,naf,http://id.loc.gov/authorities/names/n50008135,"Stowe, Harriet Beecher, 1811-1896",personal,aut,naf,http://id.loc.gov/authorities/names/n79093331,,,,,,,,,,,,,,,,1869,,,1869,,0,1,CLIO_534081,omeka_4965,text,eng,https://exhibitions.cul.columbia.edu/exhibits/show/bindings/plain/items_1_7,,NNC-RB,marcorg,,,,,GBF179.600.JPG,reformatted digital,,books,aat,New York (N.Y.),naf,http://id.loc.gov/authorities/names/n79007751,Boston (Mass.),naf,http://id.loc.gov/authorities/names/n79045553,,,,,,,Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,http://www.columbia.edu/cgi-bin/cul/resolve?clio8235351,,J. B. Ford and Company,H. A. Brown & Co.,eng,,Publishers' bindings,fast,http://id.worldcat.org/fast/1083522,Decoration and ornament,fast,http://id.worldcat.org/fast/889145,Lettering,fast,http://id.worldcat.org/fast/996769,,,,,,,,,,,,,,,,,,,,"American Woman's Home: or, Principles of Domestic Science; Being a Guide to the Formation and Maintenance of Economical, Healthful, Beautiful, and Christian Homes",judgingbookcover_awh_001,Cover,,
Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,"Reeves, Marian Calhoun Legare",personal,aut,naf,http://id.loc.gov/authorities/names/n82053014,,,,,,,,,,,,,,,,,,,,,1867,,,1867,By Fadette [pseudonym],0,1,CLIO_5559983,omeka_4964,text,eng,https://exhibitions.cul.columbia.edu/exhibits/show/bindings/plain/items_1_7,,NNC-RB,marcorg,,,Fadette is the pseudonym of Marian Calhoun Legare Reeves.,,GBF178.600.JPG,reformatted digital,,books,aat,New Orleans (La.),naf,http://id.loc.gov/authorities/names/n79007238,,,,,,,,,,Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,http://www.columbia.edu/cgi-bin/cul/resolve?clio8235351,Bancroft Fund,Blelock & Co.,,eng,,Publishers' bindings,fast,http://id.worldcat.org/fast/1083522,Decoration and ornament,fast,http://id.worldcat.org/fast/889145,Lettering,fast,http://id.worldcat.org/fast/996769,,,,,,,,,,,,,,,,,,,,Ingemisco. By Fadette [pseud.],judgingbookcover_ing_001,Cover,,
Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,"Whitman, Walt, 1819-1892",personal,aut,naf,http://id.loc.gov/authorities/names/n79081476,,,,,,,,,,,,,,,,,,,,,1856,,,1856,,0,1,CLIO_5568840,omeka_4962,text,eng,https://exhibitions.cul.columbia.edu/exhibits/show/bindings/plain/items_1_7,,NNC-RB,marcorg,,,,,GBF176.600.JPG,reformatted digital,,books,aat,"Brooklyn (New York, N.Y.)",naf,http://id.loc.gov/authorities/names/n80040311,,,,,,,,,,Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,http://www.columbia.edu/cgi-bin/cul/resolve?clio8235351,Bancroft Fund,s.n.,,eng,,Publishers' bindings,fast,http://id.worldcat.org/fast/1083522,Decoration and ornament,fast,http://id.worldcat.org/fast/889145,Lettering,fast,http://id.worldcat.org/fast/996769,,,,,,,,,,,,,,,,,,,,Leaves of Grass,judgingbookcover_log_001,Cover,,
Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,"Lossing, Benson John, 1813-1891",personal,aut,naf,http://id.loc.gov/authorities/names/n50042414,,,,,,,,,,,,,,,,,,,,,1867,,,1867,,0,1,CLIO_1067723,omeka_4963,text,eng,https://exhibitions.cul.columbia.edu/exhibits/show/bindings/plain/items_1_7,,NNC-RB,marcorg,,,,,GBF177.600.JPG,reformatted digital,,books,aat,New York (N.Y.),naf,http://id.loc.gov/authorities/names/n79007751,,,,,,,,,,Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,http://www.columbia.edu/cgi-bin/cul/resolve?clio8235351,,C. A. Alvord Printer,,eng,,Publishers' bindings,fast,http://id.worldcat.org/fast/1083522,Decoration and ornament,fast,http://id.worldcat.org/fast/889145,Lettering,fast,http://id.worldcat.org/fast/996769,,,,,,,,,,,,,,,,,,,,Vassar College and Its Founder,judgingbookcover_vci_001,Cover,,
Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,"Whitman, Walt, 1819-1892",personal,aut,naf,http://id.loc.gov/authorities/names/n79081476,,,,,,,,,,,,,,,,,,,,,1855,,,1855,,0,1,CLIO_5568838,omeka_4961,text,eng,https://exhibitions.cul.columbia.edu/exhibits/show/bindings/plain/items_1_7,,NNC-RB,marcorg,,,,,GBF175.600.JPG,reformatted digital,,books,aat,"Brooklyn (New York, N.Y.)",naf,http://id.loc.gov/authorities/names/n80040311,,,,,,,,,,Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,http://www.columbia.edu/cgi-bin/cul/resolve?clio8235351,Bancroft Fund,[The Author],,eng,,Publishers' bindings,fast,http://id.worldcat.org/fast/1083522,Decoration and ornament,fast,http://id.worldcat.org/fast/889145,Lettering,fast,http://id.worldcat.org/fast/996769,,,,,,,,,,,,,,,,,,,,Leaves of Grass,judgingbookcover_leg_001,Cover,,
Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,"Martin, E. T.",personal,aut,naf,http://id.loc.gov/authorities/names/n83046851,,,,,,,,,,,,,,,,,,,,,1848,,,1848,,0,1,CLIO_1834581,omeka_4960,text,eng,https://exhibitions.cul.columbia.edu/exhibits/show/bindings/plain/items_1_7,https://exhibitions.cul.columbia.edu/exhibits/show/bindings/plain/introduction,NNC-RB,marcorg,,,Publisher and place of publication inferred from title.,,GBF174.600.JPG,reformatted digital,,books,aat,Worcester (Mass.),naf,http://id.loc.gov/authorities/names/n80023143,,,,,,,,,,Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,http://www.columbia.edu/cgi-bin/cul/resolve?clio8235351,Gift of George A. Plimpton,Martin?,,eng,,Publishers' bindings,fast,http://id.worldcat.org/fast/1083522,Decoration and ornament,fast,http://id.worldcat.org/fast/889145,Lettering,fast,http://id.worldcat.org/fast/996769,,,,,,,,,,,,,,,,,,,,"Martin's System of Practical Penmanship Taught in 24 Lessons at His Writing and Book Keeping Academy, No. 182 Main Street, Worcester, Mass.",judgingbookcover_msp_001,Cover,,
Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,"Astrup, Eivind, 1871-1895",personal,aut,naf,http://id.loc.gov/authorities/names/n91054639,"Bull, H. J. (Henric Johan), 1844-",personal,trl,naf,http://id.loc.gov/authorities/names/n87109604,,,,,,,,,,,,,,,,1898,,,1898,,0,1,CLIO_2682239,omeka_4959,text,eng,https://exhibitions.cul.columbia.edu/exhibits/show/bindings/travel_books/items_17_22,,NNC-RB,marcorg,,,,,GBF173.600.JPG,reformatted digital,,books,aat,London (England),naf,http://id.loc.gov/authorities/names/n79005665,,,,,,,,,,Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,http://www.columbia.edu/cgi-bin/cul/resolve?clio8235351,,C. Arthur Pearson,,eng,,Publishers' bindings,fast,http://id.worldcat.org/fast/1083522,Decoration and ornament,fast,http://id.worldcat.org/fast/889145,Dogsledding,fast,http://id.worldcat.org/fast/896383,,,,,,,,,,,,,,,,,,,,With Peary Near the Pole with Illustrations from Photographs and Sketches by the Author,judgingbookcover_wpn_001,Cover,,
Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,"Hyde, Alexander, 1814-1881",personal,aut,naf,http://id.loc.gov/authorities/names/nr00039639,,,,,,,,,,,,,,,,,,,,,1880,,,1880,,0,1,CLIO_6134460,omeka_4958,text,eng,https://exhibitions.cul.columbia.edu/exhibits/show/bindings/travel_books/items_17_22,,NNC-RB,marcorg,,,,,GBF172.600.JPG,reformatted digital,,books,aat,Hartford (Conn.),naf,http://id.loc.gov/authorities/names/n80006269,San Francisco (Calif.),naf,http://id.loc.gov/authorities/names/n79018452,,,,,,,Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,http://www.columbia.edu/cgi-bin/cul/resolve?clio8235351,,R. W. Bliss & Company,A. L. Bancroft & Co.,eng,,Publishers' bindings,fast,http://id.worldcat.org/fast/1083522,Vignettes,fast,http://id.worldcat.org/fast/1166915,Seas,fast,http://id.worldcat.org/fast/1110395,Ships,fast,http://id.worldcat.org/fast/1116439,,,,,,,,,,,,,,,,The ,"Frozen Zone and Its Explorers: A Comprehensive History of Voyages, Travels, Adventures, Disasters, and Discoveries in the Arctic Regions",judgingbookcover_fzi_001,Cover,,
Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,"Smith, David Murray",personal,aut,naf,http://id.loc.gov/authorities/names/nr93008555,,,,,,,,,,,,,,,,,,,,,1877,,,1877,,0,1,CLIO_79799,omeka_4957,text,eng,https://exhibitions.cul.columbia.edu/exhibits/show/bindings/travel_books/items_17_22,,NNC-RB,marcorg,,,,,GBF171.600.JPG,reformatted digital,,books,aat,Edinburgh (Scotland),naf,http://id.loc.gov/authorities/names/n79053770,,,,,,,,,,Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,http://www.columbia.edu/cgi-bin/cul/resolve?clio8235351,,"Thomas C. Jack, Grange Publishing Works",,eng,,Publishers' bindings,fast,http://id.worldcat.org/fast/1083522,Decoration and ornament,fast,http://id.worldcat.org/fast/889145,Ships,fast,http://id.worldcat.org/fast/1116439,Icebergs,fast,http://id.worldcat.org/fast/966632,,,,,,,,,,,,,,,,,Arctic Expeditions from British and Foreign Shores: from the Earliest Times to the Expedition of 1875-76,judgingbookcover_aeb_001,Cover,,
Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,"Verne, Jules, 1828-1905",personal,aut,naf,http://id.loc.gov/authorities/names/n79064013,"D'Anvers, N., -1933",personal,trl,naf,http://id.loc.gov/authorities/names/n90629657,,,,,,,,,,,,,,,,1881,,,1881,,0,1,CLIO_6138440,omeka_4956,text,eng,https://exhibitions.cul.columbia.edu/exhibits/show/bindings/travel_books/items_17_22,,NNC-RB,marcorg,,,"N. D'Anvers is a pseudonym for Nancy R. E. Meugens Bell, d. 1933.",,GBF170.600.JPG,reformatted digital,,books,aat,London (England),naf,http://id.loc.gov/authorities/names/n79005665,,,,,,,,,,Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,http://www.columbia.edu/cgi-bin/cul/resolve?clio8235351,,"Sampston Low, Marston, Searle, and Rivington",,eng,Series: Celebrated Travels and Travellers Series,Publishers' bindings,fast,http://id.worldcat.org/fast/1083522,,,,,,,,,,,,,,,,,,,,,,,,,The ,Great Explorers of the Nineteenth Century,judgingbookcover_gen_001,Cover,,
Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,"Lamont, James, 1828-1913",personal,aut,naf,http://id.loc.gov/authorities/names/nr98024695,,,,,,,,,,,,,,,,,,,,,1861,,,1861,,0,1,CLIO_6137857,omeka_4954,text,eng,https://exhibitions.cul.columbia.edu/exhibits/show/bindings/travel_books/items_17_22,,NNC-RB,marcorg,,,,,GBF168.600.JPG,reformatted digital,,books,aat,London (England),naf,http://id.loc.gov/authorities/names/n79005665,,,,,,,,,,Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,http://www.columbia.edu/cgi-bin/cul/resolve?clio8235351,,"Hurst and Blackett, Publishers",,eng,,Publishers' bindings,fast,http://id.worldcat.org/fast/1083522,Vignettes,fast,http://id.worldcat.org/fast/1166915,Walrus,fast,http://id.worldcat.org/fast/1170227,,,,,,,,,,,,,,,,,,,,"Seasons with the Sea-Horses; or, Sporting Adventures in the Northern Seas",judgingbookcover_ssh_001,Cover,,
Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,"Whymper, Frederick",personal,aut,naf,http://id.loc.gov/authorities/names/no00093502,,,,,,,,,,,,,,,,,,,,,1871,,,1871,,0,1,CLIO_6132976,omeka_4955,text,eng,https://exhibitions.cul.columbia.edu/exhibits/show/bindings/travel_books/items_17_22,,NNC-RB,marcorg,,,,,GBF169.600.JPG,reformatted digital,,books,aat,New York (N.Y.),naf,http://id.loc.gov/authorities/names/n79007751,,,,,,,,,,Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,http://www.columbia.edu/cgi-bin/cul/resolve?clio8235351,Bancroft Fund,Harper & Brothers,,eng,,Publishers' bindings,fast,http://id.worldcat.org/fast/1083522,Vignettes,fast,http://id.worldcat.org/fast/1166915,Dogsledding,fast,http://id.worldcat.org/fast/896383,,,,,,,,,,,,,,,,,,,,"Travel and Adventure in the Territory of Alaska, Formerly Russian America--Now Ceded to the United States--and in Various Other Parts of the North Pacific",judgingbookcover_tat_001,Cover,,
Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,"Ballantyne, R. M. (Robert Michael), 1825-1894",personal,aut,naf,http://id.loc.gov/authorities/names/n79118067,,,,,,,,,,,,,,,,,,,,,1860,,,1860,,0,1,CLIO_6133631,omeka_4953,text,eng,https://exhibitions.cul.columbia.edu/exhibits/show/bindings/travel_books/items_9_16,,NNC-RB,marcorg,,,,,GBF167.600.JPG,reformatted digital,,books,aat,London (England),naf,http://id.loc.gov/authorities/names/n79005665,Edinburgh (Scotland),naf,http://id.loc.gov/authorities/names/n79053770,New York (N.Y.),naf,http://id.loc.gov/authorities/names/n79007751,,,,Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,http://www.columbia.edu/cgi-bin/cul/resolve?clio8235351,,T. Nelson and Sons,,eng,,Publishers' bindings,fast,http://id.worldcat.org/fast/1083522,Vignettes,fast,http://id.worldcat.org/fast/1166915,Igloos,fast,http://id.worldcat.org/fast/967052,Seals (Animals),fast,http://id.worldcat.org/fast/1110307,,,,,,,,,,,,,,,,The ,"World of Ice; or, Adventures in the Polar Regions",judgingbookcover_wia_001,Cover,,
Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,"Burton, Richard Francis, Sir, 1821-1890",personal,aut,naf,http://id.loc.gov/authorities/names/n80057204,,,,,,,,,,,,,,,,,,,,,1876,,,1876,,0,1,CLIO_7482989,omeka_4952,text,eng,https://exhibitions.cul.columbia.edu/exhibits/show/bindings/travel_books/items_9_16,,NNC-RB,marcorg,,,,Volume One,GBF166.600.JPG,reformatted digital,,books,aat,London (England),naf,http://id.loc.gov/authorities/names/n79005665,,,,,,,,,,Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,http://www.columbia.edu/cgi-bin/cul/resolve?clio8235351,Bequest of Stephen Whitney Phoenix,"Sampson Low, Marston, Low, and Searle",,eng,,Publishers' bindings,fast,http://id.worldcat.org/fast/1083522,Vignettes,fast,http://id.worldcat.org/fast/1166915,,,,,,,,,,,,,Congo (Democratic Republic),naf,http://id.loc.gov/authorities/names/n80061022,,,,,,,,Two Trips to Gorilla Land and the Cataracts of the Congo,judgingbookcover_ttg_001,Cover,,
Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,"Livingstone, David, 1813-1873",personal,aut,naf,http://id.loc.gov/authorities/names/n79018579,,,,,,,,,,,,,,,,,,,,,1874,,,1874,,0,1,CLIO_7483285,omeka_4951,text,eng,https://exhibitions.cul.columbia.edu/exhibits/show/bindings/travel_books/items_9_16,,NNC-RB,marcorg,,,,,GBF165.600.JPG,reformatted digital,,books,aat,London (England),naf,http://id.loc.gov/authorities/names/n79005665,,,,,,,,,,Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,http://www.columbia.edu/cgi-bin/cul/resolve?clio8235351,Bequest of Stephen Whitney Phoenix,John Murray,,eng,,Publishers' bindings,fast,http://id.worldcat.org/fast/1083522,Vignettes,fast,http://id.worldcat.org/fast/1166915,Rain and rainfall,fast,http://id.worldcat.org/fast/1089410,,,,"Livingstone, David, 1813-1873",naf,"http://id.loc.gov/authorities/names/n79018579
",,,,,,,,,,,,,The ,"Last Journals of David Livingstone, in Central Africa, from 1865 to His Death",judgingbookcover_ljd_001,Cover,,
Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,"Du Chaillu, Paul B. (Paul Belloni), 1835-1903",personal,aut,naf,http://id.loc.gov/authorities/names/n50080970,,,,,,,,,,,,,,,,,,,,,1869,,,1869,,0,1,CLIO_47818,omeka_4950,text,eng,https://exhibitions.cul.columbia.edu/exhibits/show/bindings/travel_books/items_9_16,,NNC-RB,marcorg,,,,,GBF164.600.JPG,reformatted digital,,books,aat,New York (N.Y.),naf,http://id.loc.gov/authorities/names/n79007751,,,,,,,,,,Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,http://www.columbia.edu/cgi-bin/cul/resolve?clio8235351,Gift of Frances Henne,Harper & Brothers,,eng,,Publishers' bindings,fast,http://id.worldcat.org/fast/1083522,Decoration and ornament,fast,http://id.worldcat.org/fast/889145,Gorilla,fast,http://id.worldcat.org/fast/944991,,,,,,,,,,,,,,,,,,,,Wild Life under the Equator. Narrated for Young People,judgingbookcover_wle_001,Cover,,
Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,"Carleton, George Washington, 1832-1901",personal,aut,naf,http://id.loc.gov/authorities/names/nr00017051,,,,,,,,,,,,,,,,,,,,,1866,,,1866,,0,1,CLIO_100522,omeka_4949,text,eng,https://exhibitions.cul.columbia.edu/exhibits/show/bindings/travel_books/items_9_16,,NNC-RB,marcorg,,,,,GBF163.600.JPG,reformatted digital,,books,aat,New York (N.Y.),naf,http://id.loc.gov/authorities/names/n79007751,London (England),naf,http://id.loc.gov/authorities/names/n79005665,,,,,,,Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,http://www.columbia.edu/cgi-bin/cul/resolve?clio8235351,Bequest of Frank Tannenbaum,Carleton,S. Low Son & Co.,eng,,Publishers' bindings,fast,http://id.worldcat.org/fast/1083522,Decoration and ornament,fast,http://id.worldcat.org/fast/889145,,,,,,,,,,,,,,,,,,,,,,,Our Artist in Peru,judgingbookcover_opa_001,Cover,,
Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,"Ballantyne, R. M. (Robert Michael), 1825-1894",personal,aut,naf,http://id.loc.gov/authorities/names/n79118067,,,,,,,,,,,,,,,,,,,,,1858,,,1858,,0,1,CLIO_7413672,omeka_4947,text,eng,https://exhibitions.cul.columbia.edu/exhibits/show/bindings/travel_books/items_9_16,,NNC-RB,marcorg,,,,,GBF161.600.JPG,reformatted digital,,books,aat,London (England),naf,http://id.loc.gov/authorities/names/n79005665,Edinburgh (Scotland),naf,http://id.loc.gov/authorities/names/n79053770,New York (N.Y.),naf,http://id.loc.gov/authorities/names/n79007751,,,,Judging a Book by its Cover: Gold-Stamped Publishers' Bindings of the 19th Century ,http://www.columbia.edu/cgi-bin/cul/resolve?clio8235351,Bequest of Mollie Harris Samuels,T. Nelson and Sons,,eng,,Publishers' bindings,fast,http://id.worldcat.org/fast/1083522,Vignettes,fast,http://id.worldcat.org/fast/1166915,Sailboats,fast,http://id.worldcat.org/fast/1103492,,,,,,,,,,,,,,,,,,,The ,Coral Island: a Tale of the Pacific Ocean,judgingbookcover_cit_001,Cover,,
